240005,409024,0.35835737
256232,241362,0.46211717
491968,1689227140,0.99999934
210284,240005,1
569385,210284,0.997661
249990,335034,1
281871,461876,1
261183,1227394948,0.35835737
255573,515741,0.46211717
318974,263801,0.46211717
527804,257170,0.46211717
221034,489989,0.46211717
295723,292331,0.9866143
200338,386469,0.35835737
378193,534862,0.7615941
210512,491968,0.46211717
341013,260251,1
430751,2147483647,1
221034,451867,0.46211717
515741,263801,0.7615941
200396,312677,1
372200,216631,1
243427,525533,0.7615941
241850,2147483647,1
335034,380175,1
380461,257888,0.99999994
530381,257888,0.46211717
282884,534862,1
255181,204549,0.7615941
228194,210284,1
282884,432466,0.997661
256079,380461,0.35835737
378193,405503,0.7615941
2147483647,461876,1
256079,258703,0.90514827
465284,253067,0.7615941
441052,461876,0.46211717
2147483647,682089,0.35835737
293732,368476,0.46211717
243427,254134,1
253067,240005,0.9866143
719317,345500,0.46211717
552974,276597,0.46211717
523809,210512,0.7615941
257170,451867,0.9640276
210284,476885,0.46211717
399765,364668,1
205068,255573,0.9985807
210284,438485,0.9993293
502743,430751,0.46211717
405503,269225,1
295491,241850,1
553461,241362,1
366662,309565,0.35835737
382219,550523,0.9950548
245622,257888,0.9997533
295723,370747,0.8482836
500346,530687,1
365973,241850,0.7615941
2147483647,262517,1
293732,278727,0.9253462
210512,328146,1
537984,365973,0.46211717
540583,365973,0.9950548
293732,451867,0.46211717
255170,693526,0.46211717
293737,537677,0.35835737
316708,247734,0.46211717
353392,200118,0.7615941
221034,345500,0.90514827
412843,451554,1
241362,307076,0.98955977
441052,293732,0.46211717
462878,484939,0.9999942
301950,491968,0.99817795
269225,393717,0.35835737
216482,248235,1
257170,530381,0.7615941
379162,205464,1
200396,511582,0.87982666
231062,481779,0.12435301
227427,243427,0.35835737
379162,290331,0.7615941
315491,390117,0.12435301
253067,302444,0.9640276
265810,252302,1
317816,304628,0.9985807
552974,432466,0.46211717
316708,278727,0.9866143
255170,301950,0.997661
233804,241261,1
248235,2147483647,1
262893,278727,0.46211717
537677,2147483647,1
257170,719409,0.90514827
468355,462878,0.997661
491968,566252,0.90514827
500730,209160,0.7615941
560828,295415,1
329733,255370,0.46211717
315231,335034,1
243427,217293,0.46211717
216482,533229,1
2147483647,524567,1
315491,465284,0.46211717
241362,241261,1
269225,380175,0.7039056
514191,492245,1
242779,368792,1
262517,257170,0.9866143
210284,518224,0.9961465
505248,260251,1
257170,456280,0.46211717
200396,210512,1
205068,258810,1
351033,211440,-0.46211714
204549,293737,0.90514827
257170,448540,0.9950548
257888,263801,0.46211717
316708,350814,0.46211717
281871,290331,0.46211717
448540,573408,1
316708,677552,0.46211717
